animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
77V,16.15,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
1P5,6.21,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
37V,15.07,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
8M0,8.12,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
5R4,6.25,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
2T2,4.09,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
46Z,13.97,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
0G3,9.1,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
2C6,14.03,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
3E4,11.99,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
3E4,11.99,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
37V,15.07,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
8M0,8.12,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
98V,16.03,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
7M4,8.15,20,dlPFC,young,0.7190511489992587,0.0,True,old_enriched
8B3,13.09,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
31S,17.0,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
77V,16.15,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
0G3,9.1,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
74K,20.81,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
56K,19.93,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
2F2,11.04,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
2T6,5.18,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
2Q0,3.21,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
4S3,3.18,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
4S3,3.18,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
3R7,3.32,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
3K1,9.01,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
56R,14.95,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
8H2,10.13,20,dlPFC,old,0.5471460340993328,0.004217335058214748,True,old_enriched
2T2,4.09,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
42T,15.96,20,dlPFC,old,-0.48428465530022236,0.07133247089262613,False,neutral
31S,17.0,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
5H6,11.03,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
2V1,4.3,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
1P5,6.21,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
37V,15.07,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
5R4,6.25,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
2F2,11.04,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
2V1,4.3,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
82V,16.01,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
2C6,14.03,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
3E4,11.99,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
3E4,11.99,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
82V,16.01,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
37V,15.07,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
8B3,13.09,20,dlPFC,old,0.5471460340993328,0.004217335058214748,True,old_enriched
31S,17.0,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
82V,16.01,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
82V,16.01,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
43N,17.0,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
6O7,6.03,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
1P5,6.21,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
0B9,12.11,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
37V,15.07,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
2T6,5.18,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
46Z,13.97,20,dlPFC,old,0.5471460340993328,0.004217335058214748,True,old_enriched
74K,20.81,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
2S6,3.17,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
37V,15.07,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
5R4,6.25,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
91O,15.86,20,dlPFC,old,-0.48428465530022236,0.07133247089262613,False,neutral
77V,16.15,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
2C6,14.03,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
0B9,12.11,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
8M0,8.12,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
2S2,6.31,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
55R,14.97,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
55R,14.97,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
5R4,6.25,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
2T6,5.18,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
46Z,13.97,20,dlPFC,old,-0.48428465530022236,0.07133247089262613,False,neutral
2I1,10.27,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
0G3,9.1,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
8C9,12.12,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
2S6,3.17,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
2S6,3.17,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
5R4,6.25,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
2T2,4.09,20,dlPFC,young,0.5471460340993328,0.004217335058214748,True,old_enriched
7M4,8.15,20,dlPFC,young,0.5471460340993328,0.004217335058214748,True,old_enriched
8B3,13.09,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
46Z,13.97,20,dlPFC,old,0.5471460340993328,0.004217335058214748,True,old_enriched
43N,17.0,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
1P5,6.21,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
3R7,3.32,20,dlPFC,young,0.7190511489992587,0.0,True,old_enriched
2F2,11.04,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
97R,17.93,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
2T6,5.18,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
46Z,13.97,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
46Z,13.97,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
56K,19.93,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
6D9,13.11,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
8M0,8.12,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
3D1,13.11,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
5R4,6.25,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
8B3,13.09,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
41N,16.74,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
0G3,9.1,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
0B9,12.11,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
2S6,3.17,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
6L4,8.2,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
6D9,13.11,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
3D1,13.11,20,dlPFC,old,-0.48428465530022236,0.07133247089262613,False,neutral
8H2,10.13,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
5R4,6.25,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
2F2,11.04,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
31S,17.0,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
4J6,7.15,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
2V1,4.3,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
0B9,12.11,20,dlPFC,old,0.5471460340993328,0.004217335058214748,True,old_enriched
8C9,12.12,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
1P5,6.21,20,dlPFC,young,-0.48428465530022236,0.07133247089262613,False,neutral
7M4,8.15,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
42T,15.96,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
4Q6,3.22,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
4S3,3.18,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
4J6,7.15,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
77V,16.15,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
8M0,8.12,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
2S2,6.31,20,dlPFC,young,-0.8280948851000741,0.0025140146614920224,True,young_enriched
3D1,13.11,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
3T5,5.12,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
42T,15.96,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
6D9,13.11,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
2S2,6.31,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
7M4,8.15,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
2T6,5.18,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
4Q6,3.22,20,dlPFC,young,0.5471460340993328,0.004217335058214748,True,old_enriched
56K,19.93,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
56K,19.93,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
0B9,12.11,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
6O7,6.03,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
2C6,14.03,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
1P5,6.21,20,dlPFC,young,0.5471460340993328,0.004217335058214748,True,old_enriched
5R4,6.25,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
2T2,4.09,20,dlPFC,young,0.5471460340993328,0.004217335058214748,True,old_enriched
2I1,10.27,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
1P5,6.21,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
82V,16.01,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
4J6,7.15,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
5R4,6.25,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
2T6,5.18,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
46Z,13.97,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
4Q6,3.22,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
3E4,11.99,20,dlPFC,old,0.5471460340993328,0.004217335058214748,True,old_enriched
6D9,13.11,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
37V,15.07,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
8H2,10.13,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
2T2,4.09,20,dlPFC,young,0.7190511489992587,0.0,True,old_enriched
97R,17.93,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
3E4,11.99,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
4S3,3.18,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
4S3,3.18,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
6D9,13.11,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
5R4,6.25,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
97R,17.93,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
42T,15.96,20,dlPFC,old,-0.48428465530022236,0.07133247089262613,False,neutral
42T,15.96,20,dlPFC,old,-0.48428465530022236,0.07133247089262613,False,neutral
46Z,13.97,20,dlPFC,old,0.5471460340993328,0.004217335058214748,True,old_enriched
4Q6,3.22,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
77V,16.15,20,dlPFC,old,-0.48428465530022236,0.07133247089262613,False,neutral
0G3,9.1,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
74K,20.81,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
74K,20.81,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
82V,16.01,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
56K,19.93,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
1T9,4.11,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
82V,16.01,20,dlPFC,old,-0.48428465530022236,0.07133247089262613,False,neutral
2S2,6.31,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
1G8,7.88,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
2F2,11.04,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
42T,15.96,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
2T6,5.18,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
4Q6,3.22,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
6L4,8.2,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
77V,16.15,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
0G3,9.1,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
1T9,4.11,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
2S2,6.31,20,dlPFC,young,-0.48428465530022236,0.07133247089262613,False,neutral
3T5,5.12,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
8H2,10.13,20,dlPFC,old,-0.6561897702001482,0.016895213454075034,True,young_enriched
2T2,4.09,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
7M4,8.15,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
5H6,11.03,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
4J6,7.15,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
0G3,9.1,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
43N,17.0,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
1T9,4.11,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
4S3,3.18,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
5R4,6.25,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
5R4,6.25,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
91O,15.86,20,dlPFC,old,-0.8280948851000741,0.0025140146614920224,True,young_enriched
46Z,13.97,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
2V1,4.3,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
56K,19.93,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
6L4,8.2,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
82V,16.01,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
82V,16.01,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
8M0,8.12,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
5R4,6.25,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
31S,17.0,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
77V,16.15,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
2Q0,3.21,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
56K,19.93,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
3D1,13.11,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
5R4,6.25,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
98V,16.03,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
6L4,8.2,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
0B9,12.11,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
0B9,12.11,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
0B9,12.11,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
3R7,3.32,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
8M0,8.12,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
8B3,13.09,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
42T,15.96,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
46Z,13.97,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
2I1,10.27,20,dlPFC,old,-0.48428465530022236,0.07133247089262613,False,neutral
3K1,9.01,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
55R,14.97,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
1G8,7.88,20,dlPFC,young,-0.48428465530022236,0.07133247089262613,False,neutral
5R4,6.25,20,dlPFC,young,-0.48428465530022236,0.07133247089262613,False,neutral
0B9,12.11,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
56K,19.93,20,dlPFC,old,-0.48428465530022236,0.07133247089262613,False,neutral
56R,14.95,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
1G8,7.88,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
5R4,6.25,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
2T2,4.09,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
56K,19.93,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
6L4,8.2,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
2V1,4.3,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
8M0,8.12,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
97R,17.93,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
2C6,14.03,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
31S,17.0,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
2I1,10.27,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
77V,16.15,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
0G3,9.1,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
55R,14.97,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
3T5,5.12,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
3T5,5.12,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
8H2,10.13,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
2T2,4.09,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
2F2,11.04,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
7M4,8.15,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
42T,15.96,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
6L4,8.2,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
6L4,8.2,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
41N,16.74,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
41N,16.74,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
6O7,6.03,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
1P5,6.21,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
8M0,8.12,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
2F2,11.04,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
5H6,11.03,20,dlPFC,old,0.5471460340993328,0.004217335058214748,True,old_enriched
1T9,4.11,20,dlPFC,young,0.5471460340993328,0.004217335058214748,True,old_enriched
2C6,14.03,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
8B3,13.09,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
77V,16.15,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
74K,20.81,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
3E4,11.99,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
77V,16.15,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
8M0,8.12,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
2S2,6.31,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
3T5,5.12,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
5R4,6.25,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
7M4,8.15,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
8B3,13.09,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
8H2,10.13,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
31S,17.0,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
2I1,10.27,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
56K,19.93,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
3T5,5.12,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
2T6,5.18,20,dlPFC,young,0.7190511489992587,0.0,True,old_enriched
2I1,10.27,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
77V,16.15,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
0G3,9.1,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
82V,16.01,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
1T9,4.11,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
2C6,14.03,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
1P5,6.21,20,dlPFC,young,0.5471460340993328,0.004217335058214748,True,old_enriched
4S3,3.18,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
3K1,9.01,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
56R,14.95,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
5R4,6.25,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
91O,15.86,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
4Q6,3.22,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
0G3,9.1,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
97R,17.93,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
3E4,11.99,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
8M0,8.12,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
8B3,13.09,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
5H6,11.03,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
56K,19.93,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
0B9,12.11,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
0B9,12.11,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
2C6,14.03,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
1P5,6.21,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
3K1,9.01,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
3D1,13.11,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
3D1,13.11,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
2F2,11.04,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
31S,17.0,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
31S,17.0,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
82V,16.01,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
2S6,3.17,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
4S3,3.18,20,dlPFC,young,0.375240919199407,0.13597240189736956,False,neutral
3T5,5.12,20,dlPFC,young,0.5471460340993328,0.004217335058214748,True,old_enriched
5R4,6.25,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
2I1,10.27,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
6O7,6.03,20,dlPFC,young,-0.48428465530022236,0.07133247089262613,False,neutral
56K,19.93,20,dlPFC,old,0.7190511489992587,0.0,True,old_enriched
3R7,3.32,20,dlPFC,young,0.03143068939955524,0.3320482966796033,False,neutral
3T5,5.12,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
2F2,11.04,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
97R,17.93,20,dlPFC,old,-0.6561897702001482,0.016895213454075034,True,young_enriched
6L4,8.2,20,dlPFC,young,-0.31237954040029653,0.07133247089262613,False,neutral
77V,16.15,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
1T9,4.11,20,dlPFC,young,0.20333580429948112,0.3320482966796033,False,neutral
6O7,6.03,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
3E4,11.99,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
56R,14.95,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
91O,15.86,20,dlPFC,old,0.375240919199407,0.13597240189736956,False,neutral
0G3,9.1,20,dlPFC,young,-0.14047442550037065,0.20053902544200086,False,neutral
0B9,12.11,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
2C6,14.03,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
77V,16.15,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
55R,14.97,20,dlPFC,old,0.20333580429948112,0.3320482966796033,False,neutral
55R,14.97,20,dlPFC,old,0.03143068939955524,0.3320482966796033,False,neutral
3D1,13.11,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
42T,15.96,20,dlPFC,old,-0.14047442550037065,0.20053902544200086,False,neutral
31S,17.0,20,dlPFC,old,-0.31237954040029653,0.07133247089262613,False,neutral
