animal_id,age,louvain,region,age_group,lochness_score,lochness_pvalue,lochness_significant,lochness_category
3K1,9.01,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
55R,14.97,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
2T2,4.09,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
2T6,5.18,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
91O,15.86,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
91O,15.86,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
4Q6,3.22,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
4J6,7.15,16,dlPFC,young,-0.4855299178725069,0.0678175598631699,False,neutral
2I1,10.27,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
1T9,4.11,16,dlPFC,young,-0.4855299178725069,0.0678175598631699,False,neutral
6O7,6.03,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
5H6,11.03,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
2S2,6.31,16,dlPFC,young,0.20043019163081727,0.14093956670467503,False,neutral
55R,14.97,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
3T5,5.12,16,dlPFC,young,-0.4855299178725069,0.0678175598631699,False,neutral
3T5,5.12,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
8B3,13.09,16,dlPFC,old,0.7149002737583103,0.0,True,old_enriched
42T,15.96,16,dlPFC,old,-0.31403989049667586,0.0678175598631699,False,neutral
31S,17.0,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
91O,15.86,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
8H2,10.13,16,dlPFC,old,-0.8285099726241689,0.002316989737742303,True,young_enriched
4J6,7.15,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
41N,16.74,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
0B9,12.11,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
3R7,3.32,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
3D1,13.11,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
3D1,13.11,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
3T5,5.12,16,dlPFC,young,0.20043019163081727,0.14093956670467503,False,neutral
1G8,7.88,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
5R4,6.25,16,dlPFC,young,0.3719202190066483,0.14093956670467503,False,neutral
5R4,6.25,16,dlPFC,young,0.5434102463824794,0.004526795895096921,True,old_enriched
8B3,13.09,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
2T6,5.18,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
1T9,4.11,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
5H6,11.03,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
56K,19.93,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
3R7,3.32,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
37V,15.07,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
8M0,8.12,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
8M0,8.12,16,dlPFC,young,0.20043019163081727,0.14093956670467503,False,neutral
2S2,6.31,16,dlPFC,young,0.3719202190066483,0.14093956670467503,False,neutral
42T,15.96,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
42T,15.96,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
2T6,5.18,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
46Z,13.97,16,dlPFC,old,-0.657019945248338,0.0161345496009122,True,young_enriched
2V1,4.3,16,dlPFC,young,-0.4855299178725069,0.0678175598631699,False,neutral
43N,17.0,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
1T9,4.11,16,dlPFC,young,-0.657019945248338,0.0161345496009122,True,young_enriched
1P5,6.21,16,dlPFC,young,0.5434102463824794,0.004526795895096921,True,old_enriched
5H6,11.03,16,dlPFC,old,0.5434102463824794,0.004526795895096921,True,old_enriched
2S2,6.31,16,dlPFC,young,0.20043019163081727,0.14093956670467503,False,neutral
2S2,6.31,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
2S2,6.31,16,dlPFC,young,0.20043019163081727,0.14093956670467503,False,neutral
55R,14.97,16,dlPFC,old,0.7149002737583103,0.0,True,old_enriched
3T5,5.12,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
7M4,8.15,16,dlPFC,young,0.20043019163081727,0.14093956670467503,False,neutral
8B3,13.09,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
42T,15.96,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
31S,17.0,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
31S,17.0,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
4Q6,3.22,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
4J6,7.15,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
4J6,7.15,16,dlPFC,young,-0.4855299178725069,0.0678175598631699,False,neutral
2I1,10.27,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
2I1,10.27,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
43N,17.0,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
6O7,6.03,16,dlPFC,young,0.20043019163081727,0.14093956670467503,False,neutral
2Q0,3.21,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
8M0,8.12,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
8M0,8.12,16,dlPFC,young,-0.4855299178725069,0.0678175598631699,False,neutral
55R,14.97,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
55R,14.97,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
3D1,13.11,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
3D1,13.11,16,dlPFC,old,-0.4855299178725069,0.0678175598631699,False,neutral
3T5,5.12,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
2T2,4.09,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
31S,17.0,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
91O,15.86,16,dlPFC,old,0.5434102463824794,0.004526795895096921,True,old_enriched
46Z,13.97,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
5H6,11.03,16,dlPFC,old,-0.4855299178725069,0.0678175598631699,False,neutral
2V1,4.3,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
56K,19.93,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
8C9,12.12,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
3E4,11.99,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
2S6,3.17,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
56K,19.93,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
2S2,6.31,16,dlPFC,young,0.20043019163081727,0.14093956670467503,False,neutral
3D1,13.11,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
3D1,13.11,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
8B3,13.09,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
42T,15.96,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
31S,17.0,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
91O,15.86,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
4Q6,3.22,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
31S,17.0,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
31S,17.0,16,dlPFC,old,0.7149002737583103,0.0,True,old_enriched
82V,16.01,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
43N,17.0,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
1T9,4.11,16,dlPFC,young,0.20043019163081727,0.14093956670467503,False,neutral
2S6,3.17,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
6D9,13.11,16,dlPFC,old,-0.31403989049667586,0.0678175598631699,False,neutral
8M0,8.12,16,dlPFC,young,0.20043019163081727,0.14093956670467503,False,neutral
56R,14.95,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
56R,14.95,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
55R,14.97,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
1G8,7.88,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
8H2,10.13,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
2T2,4.09,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
2T6,5.18,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
31S,17.0,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
91O,15.86,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
2I1,10.27,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
43N,17.0,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
4J6,7.15,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
8B3,13.09,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
41N,16.74,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
43N,17.0,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
37V,15.07,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
8M0,8.12,16,dlPFC,young,-0.4855299178725069,0.0678175598631699,False,neutral
8M0,8.12,16,dlPFC,young,0.20043019163081727,0.14093956670467503,False,neutral
3T5,5.12,16,dlPFC,young,0.20043019163081727,0.14093956670467503,False,neutral
3T5,5.12,16,dlPFC,young,-0.4855299178725069,0.0678175598631699,False,neutral
5R4,6.25,16,dlPFC,young,0.3719202190066483,0.14093956670467503,False,neutral
7M4,8.15,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
8B3,13.09,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
2T6,5.18,16,dlPFC,young,-0.4855299178725069,0.0678175598631699,False,neutral
46Z,13.97,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
1T9,4.11,16,dlPFC,young,-0.8285099726241689,0.002316989737742303,True,young_enriched
2C6,14.03,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
8M0,8.12,16,dlPFC,young,-0.4855299178725069,0.0678175598631699,False,neutral
55R,14.97,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
3T5,5.12,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
2T2,4.09,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
2F2,11.04,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
8B3,13.09,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
42T,15.96,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
31S,17.0,16,dlPFC,old,-0.31403989049667586,0.0678175598631699,False,neutral
4J6,7.15,16,dlPFC,young,-0.4855299178725069,0.0678175598631699,False,neutral
74K,20.81,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
2C6,14.03,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
8M0,8.12,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
3K1,9.01,16,dlPFC,young,0.3719202190066483,0.14093956670467503,False,neutral
56R,14.95,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
55R,14.97,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
3D1,13.11,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
3D1,13.11,16,dlPFC,old,-0.4855299178725069,0.0678175598631699,False,neutral
3D1,13.11,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
3T5,5.12,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
8H2,10.13,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
2F2,11.04,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
97R,17.93,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
8B3,13.09,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
8B3,13.09,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
31S,17.0,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
91O,15.86,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
91O,15.86,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
46Z,13.97,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
4Q6,3.22,16,dlPFC,young,0.20043019163081727,0.14093956670467503,False,neutral
4J6,7.15,16,dlPFC,young,0.20043019163081727,0.14093956670467503,False,neutral
41N,16.74,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
8C9,12.12,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
1T9,4.11,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
1T9,4.11,16,dlPFC,young,-0.4855299178725069,0.0678175598631699,False,neutral
1T9,4.11,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
6O7,6.03,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
4S3,3.18,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
5H6,11.03,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
0B9,12.11,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
37V,15.07,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
2S2,6.31,16,dlPFC,young,0.5434102463824794,0.004526795895096921,True,old_enriched
3D1,13.11,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
3T5,5.12,16,dlPFC,young,-0.4855299178725069,0.0678175598631699,False,neutral
8H2,10.13,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
5R4,6.25,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
5R4,6.25,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
2T2,4.09,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
2F2,11.04,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
7M4,8.15,16,dlPFC,young,0.3719202190066483,0.14093956670467503,False,neutral
42T,15.96,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
42T,15.96,16,dlPFC,old,-0.8285099726241689,0.002316989737742303,True,young_enriched
42T,15.96,16,dlPFC,old,-0.31403989049667586,0.0678175598631699,False,neutral
42T,15.96,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
42T,15.96,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
31S,17.0,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
91O,15.86,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
8H2,10.13,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
41N,16.74,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
41N,16.74,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
2I1,10.27,16,dlPFC,old,-0.657019945248338,0.0161345496009122,True,young_enriched
74K,20.81,16,dlPFC,old,0.5434102463824794,0.004526795895096921,True,old_enriched
8C9,12.12,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
2S6,3.17,16,dlPFC,young,0.3719202190066483,0.14093956670467503,False,neutral
3K1,9.01,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
3K1,9.01,16,dlPFC,young,0.3719202190066483,0.14093956670467503,False,neutral
3K1,9.01,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
3T5,5.12,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
2F2,11.04,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
97R,17.93,16,dlPFC,old,-0.31403989049667586,0.0678175598631699,False,neutral
8B3,13.09,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
31S,17.0,16,dlPFC,old,0.7149002737583103,0.0,True,old_enriched
91O,15.86,16,dlPFC,old,-0.31403989049667586,0.0678175598631699,False,neutral
91O,15.86,16,dlPFC,old,0.5434102463824794,0.004526795895096921,True,old_enriched
91O,15.86,16,dlPFC,old,0.5434102463824794,0.004526795895096921,True,old_enriched
4Q6,3.22,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
5H6,11.03,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
5H6,11.03,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
2I1,10.27,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
77V,16.15,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
0G3,9.1,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
8C9,12.12,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
0B9,12.11,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
8M0,8.12,16,dlPFC,young,0.3719202190066483,0.14093956670467503,False,neutral
8M0,8.12,16,dlPFC,young,0.3719202190066483,0.14093956670467503,False,neutral
2S2,6.31,16,dlPFC,young,0.3719202190066483,0.14093956670467503,False,neutral
55R,14.97,16,dlPFC,old,-0.31403989049667586,0.0678175598631699,False,neutral
3T5,5.12,16,dlPFC,young,0.20043019163081727,0.14093956670467503,False,neutral
1G8,7.88,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
5R4,6.25,16,dlPFC,young,-0.4855299178725069,0.0678175598631699,False,neutral
2T2,4.09,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
8B3,13.09,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
2T6,5.18,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
91O,15.86,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
91O,15.86,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
4J6,7.15,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
4J6,7.15,16,dlPFC,young,-0.31403989049667586,0.0678175598631699,False,neutral
3E4,11.99,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
2S6,3.17,16,dlPFC,young,0.5434102463824794,0.004526795895096921,True,old_enriched
3D1,13.11,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
5R4,6.25,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
97R,17.93,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
97R,17.93,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
8B3,13.09,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
42T,15.96,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
42T,15.96,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
2T6,5.18,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
2T6,5.18,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
31S,17.0,16,dlPFC,old,0.5434102463824794,0.004526795895096921,True,old_enriched
91O,15.86,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
91O,15.86,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
4Q6,3.22,16,dlPFC,young,0.02894016425498623,0.33960091220068417,False,neutral
41N,16.74,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
2I1,10.27,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
8C9,12.12,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
3E4,11.99,16,dlPFC,old,0.02894016425498623,0.33960091220068417,False,neutral
2S6,3.17,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
77V,16.15,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
6D9,13.11,16,dlPFC,old,-0.31403989049667586,0.0678175598631699,False,neutral
8M0,8.12,16,dlPFC,young,-0.8285099726241689,0.002316989737742303,True,young_enriched
1G8,7.88,16,dlPFC,young,-0.1425498631208448,0.1959338654503991,False,neutral
8H2,10.13,16,dlPFC,old,0.20043019163081727,0.14093956670467503,False,neutral
97R,17.93,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
8B3,13.09,16,dlPFC,old,0.3719202190066483,0.14093956670467503,False,neutral
42T,15.96,16,dlPFC,old,-0.1425498631208448,0.1959338654503991,False,neutral
2T6,5.18,16,dlPFC,young,-0.8285099726241689,0.002316989737742303,True,young_enriched
